t,type,r,v,details
2978.962824,apocenter,7204881.503,7383.882716,{"ecc": 0.014423317204396824, "energy": -28058754.28571438}
5957.41196,pericenter,7000000.004,7599.999996,{"ecc": 0.014423317204394825, "energy": -28058754.285714652}
8936.000648,apocenter,7204881.508,7383.882711,{"ecc": 0.01442331720440071, "energy": -28058754.28571474}
11915.98326,pericenter,7000000.167,7599.999821,{"ecc": 0.014423317205609965, "energy": -28058754.285714272}
14896.1149,apocenter,7204880.928,7383.883314,{"ecc": 0.014423317180865203, "energy": -28058754.28574467}
17877.0626,pericenter,7000001.854,7599.998015,{"ecc": 0.014423317209172781, "energy": -28058754.285733525}
20856.84158,apocenter,7204878.93,7383.885391,{"ecc": 0.014423317178834938, "energy": -28058754.28577078}
23834.38289,pericenter,7000001.971,7599.997891,{"ecc": 0.014423317197202579, "energy": -28058754.28576355}
26810.20185,apocenter,7204880.999,7383.88324,{"ecc": 0.014423317178079764, "energy": -28058754.285786506}
29790.58576,pericenter,7000001.381,7599.998522,{"ecc": 0.014423317198231644, "energy": -28058754.285778277}
32766.87754,apocenter,7204881.146,7383.883087,{"ecc": 0.014423317174889982, "energy": -28058754.285807267}
35749.20255,pericenter,7000002.345,7599.997491,{"ecc": 0.014423317193869467, "energy": -28058754.28579948}
