t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,7000000,0,0,-7600,7000000,7600,-28058754.29,5.32e+10,0.0144233172,0
902.687,3947997.674,-5833654.767,-6204.611166,-4307.104944,7044019.703,7553.035993,-28058754.53,5.319999981e+10,0.01442327369,45.13435
977.098,3474345.607,-6135423.912,-6519.246844,-3799.753485,7050851.295,7545.774046,-28058754.53,5.319999981e+10,0.01442327369,3.72055
1049.392,2993200.762,-6391647.866,-6784.821931,-3285.38176,7057790.961,7538.40447,-28058754.53,5.319999981e+10,0.01442327369,3.6147
1120.257,2504341.666,-6606077.793,-7005.443588,-2763.798002,7064841.894,7530.924197,-28058754.53,5.319999981e+10,0.01442327369,3.54325
1190.977,2002314.565,-6782705.278,-7185.384542,-2229.247208,7072082.756,7523.250237,-28058754.53,5.319999981e+10,0.01442327369,3.536
1261.488,1490537.627,-6920773.914,-7324.005667,-1685.44047,7079464.245,7515.435356,-28058754.53,5.319999981e+10,0.01442327369,3.52555
1332.025,970245.5516,-7020238.374,-7421.398552,-1133.746913,7086968.553,7507.49882,-28058754.53,5.319999981e+10,0.01442327369,3.52685
1403.162,440062.4689,-7080954.346,-7477.515657,-572.7659869,7094615.524,7499.420063,-28058754.53,5.319999981e+10,0.01442327369,3.55685
1474.925,-97296.16663,-7101699.526,-7491.238889,-5.425314266,7102365.993,7491.240854,-28058754.53,5.319999981e+10,0.01442327369,3.58815
1546.329,-631420.3776,-7081977.201,-7462.340486,557.2747319,7110069.814,7483.119714,-28058754.53,5.319999981e+10,0.01442327369,3.5702
1617.635,-1161253.685,-7022343.656,-7391.559629,1114.250876,7117711.749,7475.072492,-28058754.53,5.319999981e+10,0.01442327369,3.5653
1690.093,-1692950.152,-6921341.482,-7277.40617,1671.98461,7125380.56,7467.005632,-28058754.53,5.319999981e+10,0.01442327369,3.6229
1762.523,-2214660.884,-6780384.639,-7121.677014,2218.077905,7132905.347,7459.098678,-28058754.53,5.319999981e+10,0.01442327369,3.6215
1834.645,-2721485.999,-6601226.435,-6926.402393,2747.487671,7140215.437,7451.425274,-28058754.53,5.319999981e+10,0.01442327369,3.6061
1907.229,-3215911.899,-6382983.268,-6690.726271,3262.902186,7147346.692,7443.947119,-28058754.53,5.319999981e+10,0.01442327369,3.6292
1982.871,-3711458.099,-6116523.911,-6405.015043,3778.453581,7154494.11,7436.459451,-28058754.53,5.319999981e+10,0.01442327369,3.7821
2055.661,-4166545.807,-5824143.5,-6093.254041,4251.00664,7161057.985,7429.589643,-28058754.53,5.319999981e+10,0.01442327369,3.6395
2129.024,-4600977.841,-5495592.359,-5744.49543,4701.303802,7167323.941,7423.037463,-28058754.53,5.319999981e+10,0.01442327369,3.66815
2201.344,-5003020.335,-5140377.155,-5368.848347,5117.327674,7173122.735,7416.978839,-28058754.53,5.319999981e+10,0.01442327369,3.616
2274.936,-5383128.556,-4749136.669,-4956.430466,5510.036371,7178605.168,7411.255209,-28058754.53,5.319999981e+10,0.01442327369,3.6796
2349.547,-5736439.959,-4324213.01,-4509.758095,5874.522424,7183701.105,7405.938954,-28058754.53,5.319999981e+10,0.01442327369,3.73055
2429.591,-6077272.952,-3839657.381,-4001.672586,6225.645685,7188617.067,7400.813987,-28058754.53,5.319999981e+10,0.01442327369,4.0022
2506.89,-6366809.887,-3346640.925,-3485.828225,6523.547137,7192793.172,7396.463051,-28058754.53,5.319999981e+10,0.01442327369,3.86495
2583.502,-6613595.049,-2836873.651,-2953.398191,6777.1888,7196352.658,7392.756516,-28058754.53,5.319999981e+10,0.01442327369,3.8306
2654.813,-6806045.37,-2346315.614,-2441.748744,6974.811953,7199128.457,7389.8673,-28058754.53,5.319999981e+10,0.01442327369,3.56555
2725.742,-6960806.819,-1845742.065,-1920.219782,7133.622678,7201360.659,7387.544688,-28058754.53,5.319999981e+10,0.01442327369,3.54645
2795.961,-7077222.425,-1340412.23,-1394.174402,7253.019377,7203039.789,7385.798017,-28058754.53,5.319999981e+10,0.01442327369,3.51095
2866.434,-7156656.085,-826173.5122,-859.1737875,7334.455164,7204185.519,7384.606431,-28058754.53,5.319999981e+10,0.01442327369,3.52365
2937.204,-7198311.943,-305371.5827,-317.5430492,7377.150587,7204786.37,7383.981607,-28058754.53,5.319999981e+10,0.01442327369,3.5385
