t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,7000000,0,0,7546,7000000,7546,-28467696.29,5.2822e+10,5.904088222e-05,0
30.393,6996243.458,229304.5505,-247.1757041,7541.950448,7000000.222,7545.999761,-28467696.29,5.2822e+10,5.904088222e-05,1.51965
107.903,6952700.432,812401.2578,-875.7165035,7495.011086,7000002.793,7545.99699,-28467696.29,5.2822e+10,5.904088219e-05,3.8755
184.174,6862497.895,1380665.166,-1488.267454,7397.772902,7000008.118,7545.991249,-28467696.29,5.2822e+10,5.904088213e-05,3.81355
259.962,6726941.791,1936099.13,-2086.986837,7251.643929,7000016.122,7545.982622,-28467696.29,5.2822e+10,5.904088205e-05,3.7894
336.595,6544252.24,2484580.312,-2678.209157,7054.705803,7000026.908,7545.970995,-28467696.29,5.2822e+10,5.904088192e-05,3.83165
412.925,6317914.92,3014052.896,-3248.938509,6810.716514,7000040.271,7545.956591,-28467696.29,5.2822e+10,5.904088178e-05,3.8165
489.804,6046742.843,3526710.78,-3801.539208,6518.397047,7000056.281,7545.939333,-28467696.29,5.2822e+10,5.90408816e-05,3.84395
566.032,5736882.927,4011136.789,-4323.704118,6184.374302,7000074.576,7545.919613,-28467696.29,5.2822e+10,5.90408814e-05,3.8114
641.546,5391747.366,4464346.502,-4812.216131,5812.327177,7000094.953,7545.897648,-28467696.29,5.2822e+10,5.904088119e-05,3.7757
717.464,5008776.902,4890173.805,-5271.207611,5399.497551,7000117.564,7545.873275,-28467696.29,5.2822e+10,5.904088094e-05,3.7959
795.748,4578792.348,5294965.718,-5707.519504,4935.991452,7000142.95,7545.84591,-28467696.29,5.2822e+10,5.904088064e-05,3.9142
872.786,4123823.165,5656541.338,-6097.243654,4445.556585,7000169.812,7545.816956,-28467696.29,5.2822e+10,5.904088033e-05,3.8519
949.147,3644795.142,5976474.021,-6442.076333,3929.191516,7000198.094,7545.78647,-28467696.29,5.2822e+10,5.904088003e-05,3.81805
1024.3,3149230.28,6251842.259,-6738.869202,3395.005062,7000227.353,7545.754932,-28467696.29,5.2822e+10,5.904087973e-05,3.75765
1101.519,2618559.353,6492054.263,-6997.762725,2822.981521,7000258.684,7545.72116,-28467696.29,5.2822e+10,5.904087937e-05,3.86095
1177.895,2075832.992,6685431,-7206.169852,2237.968421,7000290.727,7545.686621,-28467696.29,5.2822e+10,5.904087902e-05,3.8188
1254.654,1516224.326,6834149.299,-7366.437287,1634.763232,7000323.767,7545.651008,-28467696.29,5.2822e+10,5.904087866e-05,3.83795
1331.21,947759.803,6935903.265,-7476.08067,1022.018098,7000357.33,7545.614831,-28467696.29,5.2822e+10,5.904087829e-05,3.8278
1408.707,365754.8514,6990830.224,-7535.248427,394.6838885,7000391.692,7545.577793,-28467696.29,5.2822e+10,5.904087789e-05,3.87485
1486.104,-218046.5454,6997029.521,-7541.893367,-234.5804944,7000426.16,7545.540641,-28467696.29,5.2822e+10,5.90408775e-05,3.86985
1563.219,-798217.3957,6954803.735,-7496.342747,-859.9254665,7000460.414,7545.50372,-28467696.29,5.2822e+10,5.904087711e-05,3.85575
1640.487,-1374008.722,6864329.683,-7398.787961,-1480.543859,7000494.409,7545.467078,-28467696.29,5.2822e+10,5.904087673e-05,3.8634
1718.14,-1943066.281,6725465.471,-7249.076959,-2093.898318,7000528.006,7545.430864,-28467696.29,5.2822e+10,5.904087634e-05,3.88265
1796.489,-2503425.059,6537638.607,-7046.593523,-2697.871108,7000561.091,7545.395204,-28467696.29,5.2822e+10,5.904087594e-05,3.91745
1874.264,-3042041.269,6305099.979,-6795.9209,-3278.403675,7000592.891,7545.360928,-28467696.29,5.2822e+10,5.904087557e-05,3.88875
1950.903,-3551909.152,6032633.229,-6502.215999,-3827.945795,7000622.994,7545.328482,-28467696.29,5.2822e+10,5.904087524e-05,3.83195
2027.086,-4034743.664,5721010.838,-6166.311676,-4348.346644,7000651.501,7545.297756,-28467696.29,5.2822e+10,5.904087494e-05,3.80915
2110.567,-4532497.842,5335353.43,-5750.612082,-4884.823529,7000680.889,7545.266081,-28467696.29,5.2822e+10,5.904087448e-05,4.17405
2196.286,-5005403.406,4894472.452,-5275.395629,-5394.514535,7000708.81,7545.235987,-28467696.29,5.2822e+10,5.9040874e-05,4.28595
2282.1,-5436066.939,4411287.35,-4754.588306,-5858.674131,7000734.236,7545.208581,-28467696.29,5.2822e+10,5.904087357e-05,4.2907
2369.315,-5826129.067,3881600.493,-4183.665705,-6279.071527,7000757.266,7545.18376,-28467696.29,5.2822e+10,5.904087315e-05,4.36075
2454.426,-6157210.351,3331611.724,-3590.866917,-6635.898946,7000776.813,7545.162691,-28467696.29,5.2822e+10,5.904087282e-05,4.25555
2542.792,-6446137.684,2731011.497,-2943.52276,-6947.292735,7000793.872,7545.144305,-28467696.29,5.2822e+10,5.90408725e-05,4.4183
