t,type,r,v,details
2920.9793,apocenter,7000826.611,7545.109018,{"ecc": 5.9040868629178796e-05, "energy": -28467696.28571916}
5836.672,pericenter,7000000.013,7545.999986,{"ecc": 5.9040888665262726e-05, "energy": -28467696.285727307}
8749.466,apocenter,7000826.613,7545.109016,{"ecc": 5.90408626930387e-05, "energy": -28467696.285738435}
11662.29465,pericenter,7000000.003,7545.999996,{"ecc": 5.90408847632733e-05, "energy": -28467696.28574734}
14578.13,apocenter,7000826.612,7545.109018,{"ecc": 5.904043624004118e-05, "energy": -28467696.286151133}
17494.1979,pericenter,7000000.012,7545.999987,{"ecc": 5.904056330405057e-05, "energy": -28467696.28624711}
20406.3648,apocenter,7000826.615,7545.109015,{"ecc": 5.904051542701616e-05, "energy": -28467696.286270287}
23323.55145,pericenter,7000000.013,7545.999986,{"ecc": 5.904053698358675e-05, "energy": -28467696.286280185}
26238.2249,apocenter,7000826.608,7545.109022,{"ecc": 5.904050440150074e-05, "energy": -28467696.28629622}
29151.61125,pericenter,7000000.009,7545.99999,{"ecc": 5.904053073193238e-05, "energy": -28467696.28630769}
32065.7541,apocenter,7000826.613,7545.109017,{"ecc": 5.904051226924752e-05, "energy": -28467696.286315337}
34979.51685,pericenter,7000000.006,7545.999993,{"ecc": 5.9040529477811805e-05, "energy": -28467696.28632169}
37893.82475,apocenter,7000826.615,7545.109014,{"ecc": 5.904051246675141e-05, "energy": -28467696.2863282}
40810.50545,pericenter,7000000.01,7545.999989,{"ecc": 5.904052894456859e-05, "energy": -28467696.286334433}
43724.1125,apocenter,7000826.613,7545.109016,{"ecc": 5.904051233741341e-05, "energy": -28467696.286340922}
46638.9552,pericenter,7000000.008,7545.999991,{"ecc": 5.904052892169953e-05, "energy": -28467696.28634737}
49551.6017,apocenter,7000826.616,7545.109013,{"ecc": 5.9040510782092834e-05, "energy": -28467696.286354277}
52468.6305,pericenter,7000000.009,7545.99999,{"ecc": 5.9040528938682625e-05, "energy": -28467696.28636109}
55380.30705,apocenter,7000826.617,7545.109012,{"ecc": 5.904051169147889e-05, "energy": -28467696.286367726}
58295.9709,pericenter,7000000.005,7545.999994,{"ecc": 5.9040534064446595e-05, "energy": -28467696.286376726}
61211.09425,apocenter,7000826.615,7545.109015,{"ecc": 5.9040511797474074e-05, "energy": -28467696.286385562}
64125.3668,pericenter,7000000.005,7545.999994,{"ecc": 5.904053518697736e-05, "energy": -28467696.286394726}
67042.49915,apocenter,7000826.609,7545.10902,{"ecc": 5.904051645719271e-05, "energy": -28467696.28640204}
69955.764,pericenter,7000000.008,7545.999991,{"ecc": 5.904053697055003e-05, "energy": -28467696.286410693}
72868.2651,apocenter,7000826.617,7545.109012,{"ecc": 5.904051391889513e-05, "energy": -28467696.286420606}
75784.49675,pericenter,7000000.007,7545.999993,{"ecc": 5.904053230164787e-05, "energy": -28467696.28642777}
78701.7688,apocenter,7000826.607,7545.109023,{"ecc": 5.904050802241346e-05, "energy": -28467696.286438175}
81611.9438,pericenter,7000000.004,7545.999996,{"ecc": 5.904053119543743e-05, "energy": -28467696.28644797}
84529.82695,apocenter,7000826.61,7545.109019,{"ecc": 5.904051161234336e-05, "energy": -28467696.286456186}
87445.0852,pericenter,7000000.012,7545.999987,{"ecc": 5.904053184225778e-05, "energy": -28467696.286464702}
90358.026,apocenter,7000826.613,7545.109016,{"ecc": 5.904051449279443e-05, "energy": -28467696.286472347}
93270.8494,pericenter,7000000.004,7545.999995,{"ecc": 5.9040534263989945e-05, "energy": -28467696.286480386}
96188.7194,apocenter,7000826.609,7545.10902,{"ecc": 5.9040511170357043e-05, "energy": -28467696.2864898}
99099.37355,pericenter,7000000.003,7545.999996,{"ecc": 5.9040533048196814e-05, "energy": -28467696.28649895}
102017.5146,apocenter,7000826.611,7545.109019,{"ecc": 5.9040511984936845e-05, "energy": -28467696.286507126}
104928.7684,pericenter,7000000.004,7545.999996,{"ecc": 5.904053043773303e-05, "energy": -28467696.286514666}
107844.3755,apocenter,7000826.616,7545.109013,{"ecc": 5.90405132991157e-05, "energy": -28467696.28652134}
110761.3286,pericenter,7000000.01,7545.999989,{"ecc": 5.904053037168027e-05, "energy": -28467696.286528032}
113675.7329,apocenter,7000826.611,7545.109018,{"ecc": 5.904051288355521e-05, "energy": -28467696.286534943}
116589.205,pericenter,7000000.007,7545.999993,{"ecc": 5.904052985131577e-05, "energy": -28467696.28654142}
119505.5843,apocenter,7000826.61,7545.10902,{"ecc": 5.904051107045749e-05, "energy": -28467696.286548678}
122419.8505,pericenter,7000000.01,7545.999989,{"ecc": 5.90405287302173e-05, "energy": -28467696.286555264}
125332.9191,apocenter,7000826.614,7545.109015,{"ecc": 5.9040509918371915e-05, "energy": -28467696.286562797}
128245.9012,pericenter,7000000.004,7545.999996,{"ecc": 5.9040527056325196e-05, "energy": -28467696.286569294}
131164.004,apocenter,7000826.61,7545.10902,{"ecc": 5.9040509229143835e-05, "energy": -28467696.286576435}
134078.6195,pericenter,7000000.011,7545.999988,{"ecc": 5.904052766595262e-05, "energy": -28467696.28658339}
136992.9838,apocenter,7000826.611,7545.109019,{"ecc": 5.904051040476324e-05, "energy": -28467696.286590014}
139906.4666,pericenter,7000000.007,7545.999992,{"ecc": 5.904052795872165e-05, "energy": -28467696.286596864}
142820.881,apocenter,7000826.614,7545.109015,{"ecc": 5.904050967956156e-05, "energy": -28467696.286604103}
145733.544,pericenter,7000000.004,7545.999996,{"ecc": 5.904052595287819e-05, "energy": -28467696.28661024}
148649.1875,apocenter,7000826.616,7545.109014,{"ecc": 5.9040508962799874e-05, "energy": -28467696.28661672}
151563.2548,pericenter,7000000.004,7545.999995,{"ecc": 5.90405257216189e-05, "energy": -28467696.286623076}
154481.1294,apocenter,7000826.609,7545.10902,{"ecc": 5.904050516140525e-05, "energy": -28467696.28663119}
157393.4492,pericenter,7000000.006,7545.999994,{"ecc": 5.904052269347948e-05, "energy": -28467696.28663805}
160311.3838,apocenter,7000826.606,7545.109024,{"ecc": 5.904050582397852e-05, "energy": -28467696.28664486}
