t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0.25,6970999.743689822,2173.9187233730836,-2.050481399810337,8695.674680343578,6971000.082660032,8695.674922100203,-19368242.87763592,60617550425.465065,0.3224999999999998,0.25
5.25,6970886.96781111,45652.047005575456,-43.05965253167523,8695.534003647348,6971036.452880918,8695.64061712899,-19368242.877635904,60617550425.46509,0.3225000000000007,0.25
10.25,6970569.15131767,89128.83249174237,-84.06633178212884,8695.137567067124,6971138.948700054,8695.54394263874,-19368242.87763591,60617550425.46507,0.3225000000000001,0.25
15.25,6970046.312601006,132602.99648397946,-125.0681464350513,8694.485416104597,6971307.564186177,8695.384907645448,-19368242.877635926,60617550425.46505,0.32249999999999923,0.25
20.25,6969318.481913963,176073.26058525825,-166.06272475010348,8693.577625601267,6971542.289582749,8695.16352697903,-19368242.87763595,60617550425.46504,0.3224999999999987,0.25
25.25,6968385.701364655,219538.34684606004,-207.0476964381588,8692.41429971486,6971843.111309897,8694.879821279172,-19368242.877636,60617550425.465004,0.32249999999999734,0.25
30.25,6967248.024908029,262996.97791087907,-248.02069313607782,8690.995571886528,6972210.011967159,8694.533816989553,-19368242.877636015,60617550425.46498,0.3224999999999968,0.25
35.25,6965905.518335042,306447.877164538,-288.97934888061155,8689.321604798839,6972642.970336947,8694.12554635044,-19368242.877636015,60617550425.46498,0.322499999999997,0.25
40.25,6964358.25925948,349889.76887827134,-329.92130058121904,8687.392590324578,6973141.961388813,8693.655047389653,-19368242.87763603,60617550425.464966,0.32249999999999623,0.25
45.25,6962606.337102425,393321.3783555292,-370.84418849158635,8685.20874946642,6973706.956284465,8693.122363911947,-19368242.87763603,60617550425.46497,0.3224999999999961,0.25
50.25,6960649.85307434,436741.43207745726,-411.74565667963606,8682.770332287471,6974337.922383523,8692.527545486757,-19368242.877636038,60617550425.464966,0.32249999999999623,0.25
55.25,6958488.920154845,480148.65784800577,-452.6233534958138,8680.077617832756,6975034.823250059,8691.870647434358,-19368242.87763603,60617550425.46498,0.32249999999999646,0.25
60.25,6956123.6630701255,523541.7849386242,-493.474932039446,8677.130914041672,6975797.618659881,8691.151730810423,-19368242.877636008,60617550425.46499,0.3224999999999971,0.25
65.25,6953554.218268033,566919.5442324966,-534.2980506229587,8673.930557651489,6976626.264608556,8690.370862389002,-19368242.877636023,60617550425.46498,0.3224999999999967,0.25
70.25,6950780.733890858,610280.6683682693,-575.090373233751,8670.476914091942,6977520.713320194,8689.52811464394,-19368242.877636023,60617550425.46497,0.32249999999999646,0.25
75.25,6947803.3697458105,653623.8918832331,-615.849569993522,8666.770377370969,6978480.913256969,8688.623565728702,-19368242.877636023,60617550425.46497,0.3224999999999969,0.25
80.25,6944622.29727321,696947.9513559086,-656.5733176148436,8662.811369951683,6979506.809129384,8687.657299454666,-19368242.877636023,60617550425.464966,0.32249999999999646,0.25
85.25,6941237.699512383,740251.5855479981,-697.2592998547854,8658.600342620663,6980598.341907253,8686.629405267882,-19368242.87763603,60617550425.46497,0.32249999999999646,0.25
90.25,6937649.771065319,783533.5355456544,-737.9052079653891,8654.137774347591,6981755.448831429,8685.539978224286,-19368242.87763603,60617550425.46497,0.3224999999999968,0.25
95.25,6933858.718058086,826792.5449000285,-778.5087411408007,8649.424172136389,6982978.063426262,8684.3891189634,-19368242.877636038,60617550425.464966,0.32249999999999635,0.25
100.25,6929864.758099996,870027.3597670501,-819.0676069608643,8644.460070867906,6984266.115512748,8683.176933680563,-19368242.877636023,60617550425.46497,0.32249999999999635,0.25
105.25,6925668.120240577,913236.7290464023,-859.5795218309921,8639.246033134252,6985619.5312224105,8681.90353409764,-19368242.877636053,60617550425.46496,0.3224999999999958,0.25
110.25,6921269.0449243635,956419.4045196468,-900.0422114181199,8633.782649064893,6987038.233011891,8680.569037432306,-19368242.877636023,60617550425.46497,0.32249999999999623,0.25
115.25,6916667.783943497,999574.1409874571,-940.4534110825667,8628.07053614459,6988522.13967822,8679.173566365824,-19368242.877636038,60617550425.464966,0.3224999999999958,0.25
120.25,6911864.6003881935,1042699.6964059258,-980.8108663056177,8622.11033902334,6990071.166374807,8677.717249009462,-19368242.877636045,60617550425.46497,0.32249999999999623,0.25
125.25,6906859.768595076,1085794.8320218972,-1021.1123331126502,8615.902729318355,6991685.224628086,8676.200218869448,-19368242.877635993,60617550425.465,0.32249999999999734,0.25
130.25,6901653.574093412,1128858.3125072925,-1061.3555784916352,8609.448405408259,6993364.222354873,8674.62261481052,-19368242.877636008,60617550425.465,0.32249999999999734,0.25
135.25,6896246.313549255,1171888.9060923865,-1101.53838080684,8602.74809221963,6995108.0638803635,8672.984581018176,-19368242.877635993,60617550425.46502,0.322499999999998,0.25
140.25,6890638.294707545,1214885.3846979972,-1141.6585302075628,8595.802541005954,6996916.649956816,8671.286266959482,-19368242.87763598,60617550425.46502,0.32249999999999823,0.25
145.25,6884829.836332174,1257846.524066554,-1181.713829031742,8588.612529119184,6998789.877782875,8669.52782734261,-19368242.87763595,60617550425.46504,0.322499999999999,0.25
150.25,6878821.268144037,1300771.1038920016,-1221.702092204282,8581.17885977399,7000727.641023549,8667.709422075037,-19368242.87763594,60617550425.46505,0.32249999999999923,0.25
155.25,6872612.930757119,1343657.907948511,-1261.6211476299338,8573.502361804896,7002729.82983083,8665.831216220475,-19368242.87763591,60617550425.46507,0.3224999999999998,0.25
160.25,6866205.175612627,1386505.7242179557,-1301.4688365805844,8565.583889416364,7004796.330864929,8663.89337995451,-19368242.87763597,60617550425.465034,0.32249999999999823,0.25
165.25,6859598.364911188,1429313.3450161247,-1341.2430140768136,8557.424321926082,7006927.027316142,8661.896088519068,-19368242.87763597,60617550425.465034,0.32249999999999845,0.25
170.25,6852792.8715431765,1472079.5671176275,-1380.9415492635662,8549.024563501463,7009121.798927323,8659.839522175562,-19368242.877635993,60617550425.465004,0.3224999999999978,0.25
175.25,6845789.07901716,1514803.1918794771,-1420.5623257798063,8540.38554288965,7011380.522016964,8657.723866156939,-19368242.877636015,60617550425.465,0.3224999999999971,0.25
180.25,6838587.381386516,1557483.0253632949,-1460.1032421220225,8531.508213141087,7013703.069502849,8655.54931061854,-19368242.877635963,60617550425.46503,0.3224999999999981,0.25
185.25,6831188.183174245,1600117.8784561264,-1499.5622120014561,8522.393551326839,7016089.310926307,8653.316050587775,-19368242.87763595,60617550425.465034,0.32249999999999857,0.25
190.25,6823591.8992960295,1642706.5669898232,-1538.9371646949228,8513.042558249845,7018539.1124770325,8651.024285912756,-19368242.877635963,60617550425.46504,0.32249999999999845,0.25
195.25,6815798.95498153,1685247.9118589682,-1578.226045389112,8503.456258150243,7021052.337018457,8648.674221209809,-19368242.87763597,60617550425.46502,0.322499999999998,0.25
200.25,6807809.785693999,1727740.739137314,-1617.4268155182504,8493.635698404934,7023628.844113684,8646.266065809921,-19368242.877635993,60617550425.46501,0.3224999999999977,0.25
205.25,6799624.837048204,1770183.8801927026,-1656.5374530950157,8483.581949221556,7026268.490051949,8643.800033704178,-19368242.877636023,60617550425.46498,0.3224999999999969,0.25
210.25,6791244.564726734,1812576.171800444,-1695.5559530346054,8473.296103327057,7028971.127875626,8641.276343488187,-19368242.877635993,60617550425.465004,0.32249999999999757,0.25
215.25,6782669.43439467,1854916.4562551219,-1734.480327471844,8462.779275651003,7031736.607407716,8638.695218305536,-19368242.87763598,60617550425.46501,0.32249999999999845,0.25
220.25,6773899.921612733,1897203.581480805,-1773.308606071251,8452.032603003829,7034564.775279888,8636.0568857903,-19368242.87763597,60617550425.46501,0.32249999999999845,0.25
225.25,6764936.511748865,1939436.401139637,-1812.0388363299653,8441.057243750205,7037455.474960987,8633.361578008642,-19368242.877635926,60617550425.46505,0.3224999999999997,0.25
230.25,6755779.699888316,1981613.7747387816,-1850.6690838734553,8429.854377477655,7040408.546786014,8630.60953139952,-19368242.877635926,60617550425.46504,0.3224999999999997,0.25
235.25,6746429.99074229,2023734.5677356976,-1889.1974327439189,8418.425204660682,7043423.827985606,8627.800986714543,-19368242.877635963,60617550425.46503,0.3224999999999991,0.25
240.25,6736887.89855515,2065797.651641727,-1927.621985681309,8406.7709463205,7046501.152715957,8624.936188957017,-19368242.87763598,60617550425.46501,0.3224999999999989,0.25
