t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0.25,6971000.0,2173.9187500166786,-2.0504814492550762,8695.675000066714,6971000.338970207,8695.675241823341,-19368237.995190494,60617554883.045135,0.3225001458772945,0.25
5.25,6970892.350267257,45652.08113583953,-43.059653055344164,8695.540717833359,6971041.835445157,8695.647331235274,-19368140.347261354,60617644034.156975,0.3225030633799861,0.25
10.25,6970579.659610732,89128.9646679818,-84.06633179810387,8695.150675728879,6971149.457824131,8695.557050688034,-19368042.704441473,60617733182.60284,0.322505980647218,0.25
15.25,6970061.946130263,132603.2906430002,-125.06814495655227,8694.504919273466,6971323.200482283,8695.404408775556,-19367945.071476564,60617822325.84621,0.32250889745487693,0.25
20.25,6969339.239787172,176073.78065474282,-166.06272078217506,8693.603523327358,6971563.05396941,8695.189419905895,-19367847.453110173,60617911461.351295,0.3225118135789715,0.25
25.25,6968411.582398287,219539.1567409977,-207.04768897436773,8692.446592067425,6971869.005011866,8694.912104297215,-19367749.854082257,60618000586.58376,0.3225147287957045,0.25
30.25,6967279.027627573,262998.14153000194,-248.02068115522465,8691.034258954462,6972241.036515251,8694.57248797207,-19367652.27912829,60618089699.010994,0.322517642881526,0.25
35.25,6965941.640975389,306449.45838676573,-288.979331343461,8689.366686691312,6972679.127567856,8694.170602750124,-19367554.732978053,60618178796.10252,0.3225205556131948,0.25
40.25,6964399.499765375,349891.8315591655,-329.92127642725325,8687.444067171815,6973183.253444874,8693.706486239234,-19367457.220354535,60618267875.33053,0.3225234667678415,0.25
45.25,6962652.693128997,393323.98632375896,-370.8441566357848,8685.266621420573,6973753.385613381,8693.180181824902,-19367359.745972797,60618356934.1702,0.32252637612302565,0.25
50.25,6960701.321987719,436744.6491312788,-411.74561600928604,8682.834599523647,6974389.491738068,8692.591738658146,-19367262.314538844,60618445970.10028,0.3225292834568009,0.25
55.25,6958545.499032834,480152.54775175726,-452.6233028673567,8680.148280550138,6975091.53568773,8691.94121164174,-19367164.93074859,60618534980.60333,0.3225321885477667,0.25
60.25,6956185.348702953,523546.41141923703,-493.47487027536124,8677.207972464792,6975859.477542505,8691.2286614149,-19367067.599286728,60618623963.16628,0.3225350911751348,0.25
65.25,6953621.007159186,566924.9709760251,-534.2979765086909,8674.014012031603,6976693.2736018775,8690.454154336347,-19366970.324825563,60618712915.28082,0.32253799111878523,0.25
70.25,6950852.622257983,610286.9590164421,-575.0902855146843,8670.566764708523,6977592.876393422,8689.617762465814,-19366873.112023987,60618801834.44381,0.322540888159325,0.25
75.25,6947880.353521692,653631.1100300244,-615.849467372003,8666.866624533322,6978558.234682274,8688.719563543988,-19366775.965526484,60618890718.15769,0.3225437820781454,0.25
80.25,6944704.3721068,696956.160544136,-656.5731987472604,8662.914014000704,6979589.293481367,8687.75964097091,-19366678.88996177,60618979563.93103,0.3225466726574872,0.25
85.25,6941324.860769935,740260.8492659428,-697.2591633487041,8658.709383930647,6980685.994062381,8686.738083782795,-19366581.889942072,60619068369.2787,0.3225495596804851,0.25
90.25,6937742.01383157,783543.9172237106,-737.9050523767512,8654.253213328218,6981848.273967431,8685.654986627373,-19366484.970061883,60619157131.722496,0.322552442931235,0.25
95.25,6933956.037137509,826804.1079073803,-778.508564971185,8649.546009234788,6983076.067021484,8684.510449737678,-19366388.13489692,60619245848.791466,0.3225553221948464,0.25
100.25,6929967.148018127,870040.1674083789,-819.0674086548196,8644.588306570837,6984369.303345471,8683.304578904379,-19366291.38900307,60619334518.02234,0.32255819725749985,0.25
105.25,6925775.575245418,913250.8445586275,-859.5792997734395,8639.380667970383,6985727.9093701495,8682.037485446568,-19366194.736915447,60619423136.95993,0.3225610679065,0.25
110.25,6921381.558987831,956434.8910686965,-900.0419639318321,8633.923683607194,6987151.807850635,8680.709286181142,-19366098.18314731,60619511703.15752,0.3225639339303316,0.25
115.25,6916785.350762958,999591.0616650783,-940.4531364257246,8628.217971012828,6988640.917881657,8679.320103390686,-19366001.732189074,60619600214.17726,0.32256679511871283,0.25
120.25,6911987.213388054,1042718.1142265274,-980.8105626694488,8622.264174886648,6990195.154913493,8677.870064789959,-19365905.38850739,60619688667.59055,0.3225696512626466,0.25
125.25,6906987.420928445,1085814.8099194306,-1021.1119986191544,8616.062966897935,6991814.430768606,8676.359303490955,-19365809.15654391,60619777060.97856,0.3225725021544794,0.25
130.25,6901786.258643817,1128879.9133321764,-1061.3552111913957,8609.61504548015,6993498.653658945,8674.78795796654,-19365713.04071469,60619865391.93236,0.32257534758794326,0.25
135.25,6896384.02293243,1171912.192608467,-1101.5379786769238,8602.921135617586,6995247.728203918,8673.156172012781,-19365617.045408867,60619953658.053604,0.32257818735821825,0.25
140.25,6890781.021273272,1214910.419579552,-1141.6580911495191,8595.981988624388,6997061.555449036,8671.464094709847,-19365521.17498797,60620041856.95466,0.3225810212619718,0.25
145.25,6884977.572166188,1257873.3698953418,-1181.7133508696934,8588.798381916213,6998940.032885214,8669.711880381621,-19365425.433784917,60620129986.25914,0.32258384909741616,0.25
150.25,6878974.005069993,1300799.823154353,-1221.7015726831148,8581.371118774556,7000883.054468707,8667.899688553996,-19365329.82610307,60620218043.602165,0.3225866706643505,0.25
155.25,6872770.660338615,1343688.5630324692,-1261.6205844135895,8573.701028103958,7002890.510641699,8666.027683911872,-19365234.356215365,60620306026.63078,0.322589485764214,0.25
160.25,6866367.889155282,1386538.3774104626,-1301.4682272504594,8565.788964182197,7004962.2883535065,8664.096036254905,-19365139.028363362,60620393933.00444,0.32259229420013213,0.25
165.25,6859766.053464774,1429348.0585002538,-1341.2423561302585,8557.635806403581,7007098.2710824115,8662.104920451988,-19365043.84675654,60620481760.39502,0.3225950957769557,0.25
170.25,6852965.525903812,1472116.402969872,-1380.9408401124945,8549.242459015593,7009298.33885811,8660.054516394546,-19364948.81557125,60620569506.48759,0.3225978903013167,0.25
175.25,6845966.689729543,1514842.2120670835,-1420.5615627494153,8540.609850848909,7011562.368284745,8657.945008948629,-19364853.938949995,60620657168.98043,0.3226006775816627,0.25
180.25,6838769.938746226,1557524.2917416517,-1460.102422449627,8531.738935041047,7013890.23256455,8655.776587905824,-19364759.221000597,60620744745.58558,0.3226034574283069,0.25
185.25,6831375.677230086,1600161.4527662038,-1499.561332835434,8522.630688753745,7016281.801522062,8653.549447933045,-19364664.665795386,60620832234.02901,0.32260622965346386,0.25
190.25,6823784.319852419,1642752.5108556703,-1538.9362230937747,8513.28611288428,7018736.941628911,8651.263788521215,-19364570.27737032,60620919632.05114,0.32260899407129867,0.25
