t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0.25,6970999.743689825,2646.6447727566174,-2.0504813517327136,10586.5788315278,6971000.24610903,10586.57903010346,-1137794.9321474656,73799043748.02817,0.9602,0.25
5.25,6970886.968395477,55579.24051159989,-43.059207304424405,10586.407566865953,6971108.532946659,10586.495136121794,-1137794.932147488,73799043748.02817,0.9601999999999997,0.25
10.25,6970569.159807707,108510.20153252868,-84.06301878171831,10585.924959814087,6971413.692752637,10586.258727517554,-1137794.9321474805,73799043748.02815,0.9601999999999996,0.25
15.25,6970046.354195369,161437.97142891167,-125.05723779273593,10585.131147203614,6971915.690701606,10585.869861103736,-1137794.932147488,73799043748.02817,0.9601999999999999,0.25
20.25,6969318.611206334,214360.99469872512,-166.037191108728,10584.026354022184,6972614.46951968,10585.328630300875,-1137794.932147473,73799043748.02818,0.9602000000000002,0.25
25.25,6968386.013837882,267277.7171849166,-206.99821257923494,10582.610893235205,6973509.94951287,10584.635165069763,-1137794.9321475103,73799043748.02817,0.9601999999999988,0.25
30.25,6967248.668395542,320186.58651470294,-247.93564544022885,10580.885165537793,6974602.028606606,10583.789631817972,-1137794.9321475178,73799043748.02815,0.960199999999998,0.25
35.25,6965906.704440405,373086.05253745423,-288.8448446116323,10578.849659037463,6975890.582396327,10582.792233280203,-1137794.9321475849,73799043748.0281,0.960199999999996,0.25
40.25,6964360.274724995,425974.5677608192,-329.72117898163316,10576.504948868176,6977375.464209061,10581.643208372794,-1137794.9321475402,73799043748.02812,0.9601999999999971,0.25
45.25,6962609.555117742,478850.5877847504,-370.56003367523914,10573.851696736172,6979056.505175946,10580.342832022403,-1137794.9321474954,73799043748.02814,0.9601999999999982,0.25
50.25,6960654.744516167,531712.5717330899,-411.3568123045482,10570.890650398484,6980933.514315577,10578.891414969314,-1137794.932147473,73799043748.02817,0.9601999999999997,0.25
55.25,6958496.064748863,584558.98268238,-452.10693919824837,10567.622643074777,6983006.278628143,10577.289303545494,-1137794.9321474656,73799043748.02818,0.9602000000000005,0.25
60.25,6956133.760466389,637388.2880875696,-492.8058616079002,10564.048592793517,6985274.56320018,10575.536879427815,-1137794.9321474284,73799043748.02821,0.960200000000001,0.25
65.25,6953568.099021181,690198.9602042886,-533.4490518886053,10560.16950167342,6987738.111319866,10573.634559366721,-1137794.932147488,73799043748.02818,0.9601999999999996,0.25
70.25,6950799.370336663,742989.476507369,-574.0320096517081,10555.986455141314,6990396.64460274,10571.582794890823,-1137794.9321474656,73799043748.02818,0.9602000000000002,0.25
