t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0.25,6970999.743689827,2940.71641417402,-2.0504813170673692,11762.865368364235,6971000.363960446,11762.865547082323,12006881.193516023,81998937497.80908,1.4200000000000006,0.25
5.25,6970886.968816819,61754.711681795,-43.05888629136865,11762.675076428362,6971160.504280118,11762.753887645427,12006881.193516023,81998937497.80911,1.4200000000000021,0.25
10.25,6970569.165928854,120566.89065522008,-84.06063025636223,11762.138875221568,6971611.784381023,11762.439249983721,12006881.193516023,81998937497.80908,1.420000000000001,0.25
15.25,6970046.384181597,179375.5242728677,-125.04937411940134,11761.256981992363,6972354.134462127,11761.921745294507,12006881.193516046,81998937497.8091,1.4200000000000017,0.25
20.25,6969318.7044051755,238178.88490924315,-166.01878792678048,11760.029753872748,6973387.43974465,11761.201556385171,12006881.19351606,81998937497.80911,1.4200000000000026,0.25
25.25,6968386.239047382,296975.24707341084,-206.9625553031075,11758.457687473756,6974711.540552715,11760.278937483085,12006881.193516053,81998937497.8091,1.4200000000000013,0.25
30.25,6967249.13209474,355762.88810505025,-247.87437786879636,11756.541418323646,6976326.23242547,11759.15421397148,12006881.19351609,81998937497.80913,1.420000000000003,0.25
35.25,6965907.558971522,414540.0888673114,-288.74797962860754,11754.281720149991,6978231.266260435,11757.827782051914,12006881.193516068,81998937497.80911,1.4200000000000021,0.25
40.25,6964361.726416951,473305.1344356953,-329.57711132424436,11751.679504007281,6980426.348487927,11756.300108333984,12006881.193516038,81998937497.8091,1.4200000000000013,0.25
45.25,6962611.8723407,532056.3147821886,-370.35555474411785,11748.735817251943,6982911.141276198,11754.57172935316,12006881.193516009,81998937497.80907,1.4200000000000002,0.25
50.25,6960658.265657005,590791.9254538976,-411.07712698351594,11745.451842367038,6985685.262767047,11752.643251017716,12006881.193516001,81998937497.80907,1.4200000000000004,0.25
55.25,6958501.2060975805,649510.2682454345,-451.7356846485503,11741.82889563922,6988748.287341428,11750.515347985936,12006881.193515986,81998937497.80905,1.4199999999999995,0.25
60.25,6956141.024003696,708209.6518643256,-492.32512799742017,11737.86842569087,6992099.7459147405,11748.188762974842,12006881.193516009,81998937497.80904,1.4199999999999993,0.25
65.25,6953578.0800977005,766888.3925887237,-532.839405012702,11733.572011870547,6995739.126261251,11745.66430600186,12006881.193515994,81998937497.80904,1.419999999999999,0.25
70.25,6950812.765234374,825544.8149167276,-573.2725153985746,11728.941362505318,6999665.873367173,11742.942853561006,12006881.193515904,81998937497.80899,1.4199999999999968,0.25
75.25,6947845.500132499,884177.2522066246,-613.6185144970942,11723.97831301868,7003879.389811841,11740.025347735242,12006881.193515927,81998937497.80899,1.4199999999999968,0.25
80.25,6944676.735087048,942784.0473073937,-653.8715171178594,11718.68482391809,7008379.0361763835,11736.91279524672,12006881.193515956,81998937497.80904,1.4199999999999986,0.25
85.25,6941306.949662474,1001363.5531788316,-694.0257012756482,11713.062978656444,7013164.131479278,11733.60626644696,12006881.193515964,81998937497.80902,1.419999999999998,0.25
90.25,6937736.65236754,1059914.1335006796,-734.0753118308548,11707.114981371988,7018233.953638084,11730.106894248833,12006881.193515912,81998937497.809,1.4199999999999968,0.25
95.25,6933966.380312198,1118434.1632701554,-774.0146640278215,11700.843154511409,7023587.739956671,11726.415873002568,12006881.193515927,81998937497.80902,1.4199999999999982,0.25
100.25,6929996.698847046,1176922.0293873197,-813.8381469264355,11694.249936341017,7029224.687637188,11722.53445731786,12006881.193515897,81998937497.809,1.4199999999999966,0.25
105.25,6925828.201185901,1235376.1312277254,-853.5402267226426,11687.337878351227,7035143.954316011,11718.463960834504,12006881.193515867,81998937497.80898,1.4199999999999955,0.25
110.25,6921461.508012062,1293794.8812018428,-893.1154499538222,11680.109642559546,7041344.658622862,11714.20575494381,12006881.193515837,81998937497.80896,1.4199999999999948,0.25
115.25,6916897.267068828,1352176.7053007449,-932.5584465852698,11672.567998717612,7047825.880762251,11709.761267463313,12006881.19351586,81998937497.80896,1.4199999999999948,0.25
120.25,6912136.152734903,1410520.0436276118,-971.8639329743373,11664.715821427797,7054586.6631164225,11705.131981267205,12006881.193515845,81998937497.80894,1.4199999999999944,0.25
125.25,6907178.865585285,1468823.3509145943,-1011.026714709095,11656.55608717516,7061626.010868886,11700.319432875145,12006881.193515852,81998937497.80896,1.4199999999999942,0.25
130.25,6902026.131938276,1527085.0970246426,-1050.0416893186878,11648.091871280498,7068942.892647641,11695.32521100196,12006881.193515822,81998937497.80896,1.4199999999999937,0.25
135.25,6896678.703389278,1585303.7674379158,-1088.9038488528852,11639.326344780406,7076536.241187214,11690.150955070932,12006881.193515778,81998937497.80891,1.419999999999992,0.25
140.25,6891137.356332026,1643477.8637224191,-1127.608282328633,11630.262771240315,7084404.954008513,11684.79835369334,12006881.19351583,81998937497.80894,1.4199999999999937,0.25
145.25,6885402.891467901,1701605.9039885525,-1166.1501780417468,11620.90450350647,7092547.894115572,11679.269143116951,12006881.193515815,81998937497.80894,1.419999999999993,0.25
150.25,6879476.133304048,1759686.423327277,-1204.5248257421813,11611.254980402939,7100963.890708244,11673.56510564623,12006881.193515815,81998937497.80896,1.4199999999999933,0.25
155.25,6873357.929640953,1817717.974231646,-1242.727618671661,11601.317723379607,7109651.739909837,11667.688068036921,12006881.193515778,81998937497.80893,1.4199999999999924,0.25
160.25,6867049.151050181,1875699.1270014627,-1280.7540554627383,11591.096333117279,7118610.205508731,11661.639899867818,12006881.193515778,81998937497.80893,1.4199999999999922,0.25
165.25,6860550.690342962,1933628.4701308678,-1318.59974189867,11580.594486095799,7127838.0197129855,11655.422511892379,12006881.193515755,81998937497.80891,1.4199999999999915,0.25
170.25,6853863.462030323,1991504.6106786907,-1356.26039253381,11569.815931131267,7137333.883916933,11649.037854372988,12006881.193515725,81998937497.80891,1.419999999999991,0.25
175.25,6846988.401775481,2049326.1746214193,-1393.731832174499,11558.76448588817,7147096.4694788065,11642.487915400476,12006881.193515748,81998937497.8089,1.4199999999999906,0.25
180.25,6839926.46583917,2107091.807188683,-1431.0099972207406,11547.444033372329,7157124.418508371,11635.774719201636,12006881.19351577,81998937497.80893,1.4199999999999924,0.25
185.25,6832678.630518599,2164800.173181161,-1468.0909368692257,11535.858518410409,7167416.344663585,11628.900324437369,12006881.19351577,81998937497.80894,1.4199999999999924,0.25
190.25,6825245.891580754,2222449.9572708677,-1504.9708141785457,11524.011944121663,7177970.8339553205,11621.866822494052,12006881.193515778,81998937497.80893,1.419999999999992,0.25
195.25,6817629.263690716,2280039.8642837903,-1541.645906997696,11511.90836838743,7188786.44555917,11614.676335770675,12006881.193515718,81998937497.80887,1.4199999999999893,0.25
200.25,6809829.779835665,2337568.6194648766,-1578.1126087592443,11499.551900323884,7199861.712633346,11607.331015964332,12006881.193515658,81998937497.80887,1.4199999999999886,0.25
205.25,6801848.49074525,2395034.9687254117,-1614.367429138751,11486.946696763243,7211195.143141736,11599.833042356431,12006881.19351565,81998937497.80885,1.4199999999999875,0.25
210.25,6793686.4643090125,2452437.6788728246,-1650.4069945823046,11474.09695874865,7222785.22068119,11592.184620102082,12006881.193515606,81998937497.80882,1.4199999999999862,0.25
215.25,6785344.784991487,2509775.537823018,-1686.228048704227,11461.006928047722,7234630.405312077,11584.387978525008,12006881.193515599,81998937497.8088,1.4199999999999857,0.25
220.25,6776824.553245619,2567047.354795327,-1721.8274525572238,11447.680883689545,7246729.134391209,11576.445369420217,12006881.193515599,81998937497.8088,1.4199999999999857,0.25
225.25,6768126.884925168,2624251.9604902207,-1757.2021847774633,11434.123138529849,7259079.823406244,11568.359065366634,12006881.193515554,81998937497.80878,1.4199999999999844,0.25
230.25,6759252.910696689,2681388.20724992,-1792.3493416072452,11420.338035848778,7271680.866810685,11560.131358051873,12006881.193515562,81998937497.80878,1.4199999999999842,0.25
235.25,6750203.775451679,2738454.9692020873,-1827.2661367980952,11406.329945985573,7284530.638858601,11551.764556611093,12006881.193515599,81998937497.8088,1.4199999999999857,0.25
240.25,6740980.637719528,2795451.142386793,-1861.9499013972868,11392.10326301429,7297627.494438257,11543.260985982004,12006881.193515591,81998937497.8088,1.4199999999999855,0.25
245.25,6731584.669081807,2852375.644866976,-1896.3980834209394,11377.662401464437,7310969.769903821,11534.62298527785,12006881.193515584,81998937497.80879,1.4199999999999846,0.25
250.25,6722017.053588476,2909227.416822618,-1930.608247416979,11363.011793090229,7324555.783904352,11525.852906180178,12006881.193515606,81998937497.80882,1.4199999999999862,0.25
255.25,6712278.987176534,2966005.420628899,-1964.5780739213642,11348.155883691974,7338383.838209312,11516.953111353077,12006881.193515599,81998937497.80884,1.4199999999999866,0.25
260.25,6702371.677091655,3022708.640918599,-1998.305358811099,11333.099129992917,7352452.21852984,11507.925972880577,12006881.19351565,81998937497.80885,1.419999999999988,0.25
265.25,6692296.341313315,3079336.084629026,-2031.7880125576496,11317.845996574546,7366759.195335083,11498.773870728628,12006881.193515629,81998937497.80885,1.4199999999999873,0.25
270.25,6682054.207983879,3135886.781033766,-2065.02405938446,11302.400952873355,7381303.02466288,11489.499191233237,12006881.193515606,81998937497.80882,1.4199999999999862,0.25
275.25,6671646.514842147,3192359.7817595946,-2098.0116363323473,11286.76847024163,7396081.948924142,11480.10432561597,12006881.193515584,81998937497.80882,1.4199999999999857,0.25
280.25,6661074.508661777,3248754.1607888336,-2130.7489922366,11270.953019074783,7411094.197700262,11470.591668528186,12006881.193515569,81998937497.8088,1.4199999999999853,0.25
285.25,6650339.444695065,3305069.014447537,-2163.2344866196695,11254.959066007475,7426337.988532994,11460.96361662511,12006881.193515621,81998937497.80884,1.419999999999987,0.25
290.25,6639442.586122425,3361303.4613798177,-2195.46658850338,11238.791071180558,7441811.52770614,11451.222567170831,12006881.193515629,81998937497.80882,1.4199999999999866,0.25
295.25,6628385.203508038,3417456.6425087065,-2227.4438751445805,11222.453485580743,7457513.011018565,11441.37091667526,12006881.193515591,81998937497.80878,1.4199999999999853,0.25
300.25,6617168.574261984,3473527.720983874,-2259.1650306982287,11205.950748454563,7473440.624547959,11431.411059563867,12006881.193515569,81998937497.80878,1.419999999999985,0.25
305.25,6605793.982109235,3529515.8821166293,-2290.6288448118503,11189.287284798133,7489592.545404864,11421.34538688106,12006881.193515584,81998937497.80878,1.4199999999999848,0.25
310.25,6594262.716565843,3585420.3333025514,-2321.834211155341,11172.467502923955,7505966.942476479,11411.176285027901,12006881.193515569,81998937497.80878,1.4199999999999848,0.25
315.25,6582576.072422634,3641240.303932148,-2352.7801258900718,11155.495792105836,7522561.9771598345,11400.906134534847,12006881.193515532,81998937497.80875,1.4199999999999833,0.25
320.25,6570735.349236695,3696975.045289942,-2383.4656860811942,11138.376520302812,7539375.804083866,11390.537308870003,12006881.193515569,81998937497.80875,1.419999999999984,0.25
325.25,6558741.850830934,3752623.830442372,-2413.8900880570595,11121.114031962743,7556406.571820045,11380.07217328338,12006881.193515569,81998937497.80875,1.4199999999999842,0.25
330.25,6546596.884801973,3808185.9541149116,-2444.0526257195884,11103.7126459062,7573652.423581174,11369.513083687625,12006881.193515636,81998937497.8088,1.419999999999987,0.25
335.25,6534301.762036585,3863660.732558814,-2473.9526888093997,11086.176653290906,7591111.497908019,11358.862385575398,12006881.19351565,81998937497.80879,1.4199999999999868,0.25
340.25,6521857.796236952,3919047.503407871,-2503.589761129448,11068.510315657028,7608781.929343498,11348.122412973797,12006881.193515614,81998937497.80878,1.4199999999999857,0.25
345.25,6509266.303454844,3974345.625525615,-2532.963418730848,11050.717863053307,7626661.84909409,11337.295487435886,12006881.193515591,81998937497.80876,1.4199999999999853,0.25
350.25,6496528.601635009,4029554.4788433397,-2562.073328064505,11032.803492243946,7644749.385678261,11326.383917069461,12006881.193515629,81998937497.80879,1.4199999999999866,0.25
355.25,6483646.010167839,4084673.464189361,-2590.9192441021123,11014.771364996004,7663042.66556164,11315.389995603095,12006881.193515576,81998937497.80876,1.4199999999999844,0.25
360.25,6470619.84945154,4139702.003109921,-2619.501008429948,10996.625606446969,7681539.813778782,11304.316001489462,12006881.193515591,81998937497.80875,1.4199999999999848,0.25
365.25,6457451.440463864,4194639.5376821235,-2647.8185473188882,10978.37030355189,7700238.954541277,11293.164197045748,12006881.193515547,81998937497.80872,1.419999999999984,0.25
370.25,6444142.10434356,4249485.530319308,-2675.8718697739105,10960.009503609568,7719138.211832109,11281.936827631122,12006881.193515494,81998937497.80869,1.4199999999999817,0.25
375.25,6430693.161981605,4304239.463569239,-2703.6610655663017,10941.547212866972,7738235.70998608,11270.636120860974,12006881.193515472,81998937497.80865,1.4199999999999806,0.25
380.25,6417105.933622339,4358900.8399055265,-2731.186303251658,10922.987395201028,7757529.574256236,11259.264285857667,12006881.193515465,81998937497.80865,1.4199999999999813,0.25
385.25,6403381.73847451,4413469.18151264,-2758.447828176724,10904.333970876869,7777017.931366154,11247.823512537534,12006881.193515427,81998937497.80862,1.419999999999979,0.25
390.25,6389521.894332321,4467944.030064892,-2785.445960477948,10885.590815381478,7796698.91004806,11236.315970933734,12006881.193515383,81998937497.80861,1.4199999999999777,0.25
395.25,6375527.717206504,4522324.946499801,-2812.181093074576,10866.761758331533,7816570.641566723,11224.743810554553,12006881.193515398,81998937497.80862,1.4199999999999786,0.25
400.25,6361400.520965417,4576611.510786152,-2838.6536896589955,10847.85058245428,7836631.260229065,11213.109159776708,12006881.193515383,81998937497.80861,1.4199999999999777,0.25
405.25,6347141.616986217,4630803.3216871545,-2864.8642826869072,10828.861022640145,7856878.903879529,11201.414125273208,12006881.193515383,81998937497.80861,1.419999999999978,0.25
410.25,6332752.313816056,4684899.9965190375,-2890.8134713698482,10809.796765065654,7877311.714381162,11189.660791475193,12006881.193515375,81998937497.80862,1.419999999999978,0.25
415.25,6318233.916843307,4738901.170905428,-2916.5019196724325,10790.66144638529,7897927.838082464,11177.851220067247,12006881.193515368,81998937497.80861,1.4199999999999777,0.25
420.25,6303587.727978806,4792806.498527863,-2941.9303543165875,10771.458652990768,7918725.426270058,11165.987449515562,12006881.193515427,81998937497.80865,1.419999999999979,0.25
425.25,6288815.045347019,4846615.650872765,-2967.099562794973,10752.191920336174,7939702.635607197,11154.071494628346,12006881.193515413,81998937497.80864,1.4199999999999786,0.25
430.25,6273917.162987143,4900328.316975194,-2992.0103913956473,10732.864732327433,7960857.6285582185,11142.105346147897,12006881.19351536,81998937497.80861,1.4199999999999768,0.25
435.25,6258895.370564038,4953944.20315972,-3016.663743239929,10713.480520774423,7982188.573799026,11130.090970373572,12006881.193515308,81998937497.80858,1.4199999999999755,0.25
440.25,6243750.9530889345,5007463.032778689,-3041.060576335327,10694.042664904115,8003693.646613676,11118.030308815067,12006881.19351533,81998937497.8086,1.419999999999976,0.25
445.25,6228485.190649831,5060884.545948224,-3065.201901645281,10674.554490933007,8025371.029277203,11105.925277875223,12006881.1935153,81998937497.8086,1.4199999999999755,0.25
450.25,6213099.358151508,5114208.499282227,-3089.0887811773628,10655.019271697218,8047218.911424818,11093.777768561751,12006881.193515278,81998937497.80858,1.4199999999999746,0.25
455.25,6197594.725065046,5167434.665624657,-3112.7223260914893,10635.44022633842,8069235.4904075945,11081.589646227018,12006881.193515278,81998937497.80856,1.4199999999999742,0.25
